judge,description,constraint,variant,accuracy,f1,recall,precision,n,positives
oracle,probe-words,no_upside_down,p3,1.0,1.0,1.0,1.0,192,20
oracle,probe-words,no_upside_down,p4,1.0,1.0,1.0,1.0,192,20
oracle,probe-words,no_upside_down,p5,1.0,1.0,1.0,1.0,192,20
oracle,probe-words,stay_left_half,canonical,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,stay_left_half,n1,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,stay_left_half,n2,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,stay_left_half,p1,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,stay_left_half,p2,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,stay_left_half,p3,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,stay_left_half,p4,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,stay_left_half,p5,1.0,1.0,1.0,1.0,192,56
oracle,probe-words,top_never,canonical,1.0,,,,192,0
oracle,probe-words,top_never,n1,1.0,,,,192,0
oracle,probe-words,top_never,n2,1.0,,,,192,0
oracle,probe-words,top_never,p1,1.0,,,,192,0
oracle,probe-words,top_never,p2,1.0,,,,192,0
oracle,probe-words,top_never,p3,1.0,,,,192,0
oracle,probe-words,top_never,p4,1.0,,,,192,0
oracle,probe-words,top_never,p5,1.0,,,,192,0
oracle,probe-words,upright_always,canonical,1.0,1.0,1.0,1.0,192,156
oracle,probe-words,upright_always,n1,1.0,1.0,1.0,1.0,192,156
oracle,probe-words,upright_always,n2,1.0,1.0,1.0,1.0,192,156
oracle,probe-words,upright_always,p1,1.0,1.0,1.0,1.0,192,156
oracle,probe-words,upright_always,p2,1.0,1.0,1.0,1.0,192,156
oracle,probe-words,upright_always,p3,1.0,1.0,1.0,1.0,192,156
oracle,probe-words,upright_always,p4,1.0,1.0,1.0,1.0,192,156
oracle,probe-words,upright_always,p5,1.0,1.0,1.0,1.0,192,156
